nmmunicipiocredor,nmfuncao,vlempenhado,vlliquidado,vlpagoorcamentario,valor_total
CAMPO ALEGRE,Educação,-300000.0,424644.0,424644.0,549288.0
CAMPO ALEGRE,Saúde,0.0,0.0,0.0,0.0
CAMPO ALEGRE,Transporte,0.0,300000.0,300000.0,600000.0
CAMPO BELO DO SUL,Educação,0.0,161349.0,124400.0,285749.0
CAMPO BELO DO SUL,Saúde,0.0,0.0,0.0,0.0
CAMPO ERE,Agricultura,0.0,300000.0,300000.0,600000.0
CAMPO ERE,Educação,0.0,55626.0,55626.0,111252.0
CAMPO ERE,Saúde,0.0,0.0,0.0,0.0
CAMPO ERE,Transporte,0.0,200000.0,200000.0,400000.0
CAMPOS NOVOS,Assistência Social,-200000.0,200000.0,200000.0,200000.0
CAMPOS NOVOS,Educação,-100000.0,100000.0,100000.0,100000.0
CAMPOS NOVOS,Saúde,0.0,3310000.0,3310000.0,6620000.0
CAMPOS NOVOS,Transporte,0.0,500000.0,500000.0,1000000.0
CANELINHA,Educação,0.0,0.0,0.0,0.0
CANELINHA,Saúde,0.0,9180.0,13770.0,22950.0
CANELINHA,Transporte,0.0,800000.0,800000.0,1600000.0
CANOINHAS,Educação,0.0,3101880.0,3101880.0,6203760.0
CANOINHAS,Saúde,0.0,11000.0,16500.0,27500.0
CAPAO ALTO,Educação,0.0,0.0,0.0,0.0
CAPAO ALTO,Saúde,0.0,0.0,0.0,0.0
CAPINZAL,Educação,0.0,100.0,100.0,200.0
CAPINZAL,Saúde,0.0,267136.0,275704.0,542840.0
CAPINZAL,Transporte,0.0,1500000.0,1500000.0,3000000.0
CAPIVARI DE BAIXO,Educação,0.0,201430.0,201430.0,402860.0
CAPIVARI DE BAIXO,Saúde,0.0,0.0,0.0,0.0
CATANDUVAS,Educação,0.0,39490.0,39490.0,78980.0
CATANDUVAS,Saúde,0.0,0.0,0.0,0.0
CATANDUVAS,Transporte,0.0,250000.0,250000.0,500000.0
CAXAMBU DO SUL,Agricultura,-400000.0,700000.0,700000.0,1000000.0
CAXAMBU DO SUL,Educação,0.0,0.0,0.0,0.0
CAXAMBU DO SUL,Saúde,0.0,106265.0,106265.0,212530.0
CAXAMBU DO SUL,Transporte,0.0,200000.0,200000.0,400000.0
CELSO RAMOS,Agricultura,0.0,136995.0,136995.0,273990.0
CELSO RAMOS,Comércio e Serviços,0.0,100000.0,0.0,100000.0
CELSO RAMOS,Educação,0.0,5316.0,0.0,5316.0
CELSO RAMOS,Saúde,0.0,0.0,0.0,0.0
CELSO RAMOS,Transporte,0.0,150000.0,150000.0,300000.0
CERRO NEGRO,Educação,0.0,51122.0,280.0,51402.0
CERRO NEGRO,Saúde,0.0,0.0,0.0,0.0
CHAPADAO DO LAGEADO,Educação,0.0,23781.0,0.0,23781.0
CHAPADAO DO LAGEADO,Saúde,0.0,0.0,0.0,0.0
CHAPECO,Educação,-1000000.0,1321199.0,1321199.0,1642398.0
CHAPECO,Saúde,-4083900.0,5553650.0,5563275.0,7033025.0
CHAPECO,Transporte,0.0,600000.0,600000.0,1200000.0
COCAL DO SUL,Educação,0.0,172082.0,150000.0,322082.0
COCAL DO SUL,Saúde,0.0,0.0,0.0,0.0
CONCORDIA,Direitos da Cidadania,0.0,0.0,0.0,0.0
CONCORDIA,Educação,0.0,8253.0,8253.0,16506.0
CONCORDIA,Gestão Ambiental,0.0,50000.0,50000.0,100000.0
CONCORDIA,Saúde,0.0,3065965.0,1541465.0,4607430.0
CONCORDIA,Transporte,0.0,5000000.0,5000000.0,10000000.0
CORDILHEIRA ALTA,Educação,0.0,170244.0,150000.0,320244.0
CORDILHEIRA ALTA,Saúde,0.0,300000.0,0.0,300000.0
CORDILHEIRA ALTA,Transporte,0.0,900000.0,900000.0,1800000.0
CORONEL FREITAS,Agricultura,0.0,200000.0,200000.0,400000.0
CORONEL FREITAS,Educação,0.0,0.0,0.0,0.0
CORONEL FREITAS,Saúde,0.0,7890.0,11835.0,19725.0
CORONEL FREITAS,Transporte,0.0,150000.0,150000.0,300000.0
CORONEL MARTINS,Educação,0.0,0.0,0.0,0.0
CORONEL MARTINS,Saúde,0.0,0.0,0.0,0.0
CORREIA PINTO,Agricultura,0.0,500000.0,500000.0,1000000.0
CORREIA PINTO,Educação,0.0,260994.0,244600.0,505594.0
CORREIA PINTO,Saúde,0.0,0.0,0.0,0.0
CORUPA,Educação,0.0,0.0,0.0,0.0
CORUPA,Saúde,0.0,0.0,0.0,0.0
CRICIUMA,Educação,0.0,2260372.0,2360372.0,4620744.0
CRICIUMA,Saúde,0.0,2510396.0,3126670.0,5637066.0
CUNHA PORA,Agricultura,0.0,800000.0,800000.0,1600000.0
CUNHA PORA,Educação,-468750.0,798750.0,798750.0,1128750.0
CUNHA PORA,Saúde,0.0,0.0,0.0,0.0
CUNHA PORA,Transporte,-400000.0,400000.0,400000.0,400000.0
CUNHATAI,Agricultura,0.0,500000.0,500000.0,1000000.0
CUNHATAI,Educação,0.0,0.0,0.0,0.0
CUNHATAI,Saúde,0.0,0.0,0.0,0.0
CUNHATAI,Transporte,0.0,300000.0,300000.0,600000.0
CURITIBANOS,Educação,0.0,456891.0,456891.0,913782.0
CURITIBANOS,Saúde,0.0,1015214.0,1019339.0,2034553.0
DESCANSO,Educação,0.0,20160.0,20160.0,40320.0
DESCANSO,Saúde,0.0,0.0,0.0,0.0
DIONISIO CERQUEIRA,Educação,0.0,135.0,135.0,270.0
DIONISIO CERQUEIRA,Saúde,0.0,55950.0,60075.0,116025.0
DONA EMMA,Educação,0.0,0.0,0.0,0.0
DONA EMMA,Saúde,0.0,0.0,0.0,0.0
